transaction_id,transaction_date,product_id,product_name,product_category,unit_price,quantity,total_sales,store_id,store_location,customer_id,customer_age,customer_gender,payment_method,seasonal_factor,discount_applied,is_weekend,time_of_day
T8078673,2023-11-28 11:01:23.604168,P1520,Bread,Groceries,4.12,1,6.63,S1,New York,C38657,39,M,Credit Card,1.61,False,False,Morning
T1109031,2023-06-30 17:57:32.451245,P3615,Vegetables,Groceries,3.78,5,18.33,S14,Chicago,C46421,33,M,Credit Card,0.97,False,False,Afternoon
T1728977,2022-07-18 19:58:34.055827,P8527,Bedding,Home Goods,69.06,4,232.04,S18,New York,C59615,41,F,Credit Card,0.84,False,False,Evening
T2338687,2022-11-25 10:52:22.647606,P4814,Smartwatch,Electronics,1138.69,1,1503.07,S4,Houston,C46434,50,F,Credit Card,1.32,True,False,Morning
T7366205,2022-09-22 15:10:12.379211,P5422,Jeans,Clothing,118.13,1,120.49,S18,Los Angeles,C99733,32,M,Credit Card,1.02,True,False,Afternoon
T6279418,2022-09-13 20:35:04.085346,P4483,Milk,Groceries,4.21,1,4.46,S16,Houston,C94259,32,M,Credit Card,1.06,False,False,Evening
T3320821,2023-01-06 14:08:33.996593,P9348,Smartwatch,Electronics,854.57,2,1692.05,S16,New York,C16175,50,M,Cash,0.99,False,False,Afternoon
T9877065,2022-04-19 20:58:29.987333,P5119,Laptop,Electronics,1208.91,1,1100.11,S18,New York,C99166,42,F,Debit Card,0.91,False,False,Evening
T3997281,2023-06-08 18:48:21.296886,P9317,Headphones,Electronics,204.94,4,704.99,S4,Chicago,C93748,30,F,Debit Card,0.86,True,False,Evening
T2876828,2023-07-04 13:09:00.839183,P6947,Jeans,Clothing,114.79,5,671.52,S10,Los Angeles,C17592,40,F,Credit Card,1.17,False,False,Afternoon
T3770370,2022-09-02 11:05:23.370079,P5342,Milk,Groceries,10.28,5,53.97,S17,Miami,C65461,30,F,Mobile Pay,1.05,True,False,Morning
T8574680,2022-11-10 15:52:21.621198,P2982,Chair,Home Goods,362.22,1,579.55,S8,Los Angeles,C18392,30,F,Credit Card,1.6,False,False,Afternoon
T1527021,2023-11-09 20:46:53.978788,P6413,Bread,Groceries,9.24,1,11.46,S3,Miami,C41195,37,M,Credit Card,1.24,False,False,Evening
T2626229,2023-02-26 17:13:37.503899,P8062,Sneakers,Clothing,121.6,2,257.79,S12,Houston,C63883,18,M,Credit Card,1.06,False,True,Afternoon
T8526486,2023-07-09 10:43:40.774892,P3296,Milk,Groceries,1.57,3,5.28,S14,Los Angeles,C46509,18,M,Credit Card,1.12,True,True,Morning
T1247595,2023-08-03 08:10:55.602494,P2528,Lamp,Home Goods,232.7,5,977.34,S8,Los Angeles,C63269,29,F,Credit Card,0.84,False,False,Morning
T8633773,2023-12-29 09:58:42.290244,P5673,Tablet,Electronics,1363.42,1,1636.1,S14,Miami,C96752,24,F,Debit Card,1.2,False,False,Morning
T8999183,2022-08-03 08:21:27.462830,P9238,Headphones,Electronics,323.82,1,352.96,S17,Los Angeles,C17455,38,M,Mobile Pay,1.09,True,False,Morning
T1666754,2022-08-05 11:54:41.047132,P2343,Smartwatch,Electronics,195.15,2,374.69,S14,Miami,C84085,25,F,Debit Card,0.96,False,False,Morning
T2217071,2023-10-29 18:50:50.171939,P1152,Chair,Home Goods,273.18,1,259.52,S15,Miami,C83792,20,F,Mobile Pay,0.95,True,True,Evening
T3646552,2022-03-05 11:34:55.697727,P8179,Headphones,Electronics,285.44,3,924.83,S18,Chicago,C90173,49,M,Mobile Pay,1.08,False,True,Morning
T3253031,2023-10-31 19:28:38.145605,P5333,Vegetables,Groceries,1.11,5,5.33,S4,New York,C82512,32,F,Credit Card,0.96,False,False,Evening
T1852264,2022-03-17 14:38:48.726028,P2512,Headphones,Electronics,385.04,1,365.79,S14,Chicago,C15778,35,F,Credit Card,0.95,False,False,Afternoon
T3500715,2023-01-06 12:40:32.517756,P9938,Chair,Home Goods,338.21,1,334.83,S2,Chicago,C86350,20,F,Debit Card,0.99,True,False,Afternoon
T2724590,2022-06-14 08:08:23.887815,P6794,T-Shirt,Clothing,72.03,1,83.55,S18,Houston,C91351,29,M,Debit Card,1.16,False,False,Morning
T6573147,2023-12-21 12:53:03.562433,P7745,Chair,Home Goods,435.01,3,2205.5,S8,Chicago,C30866,36,M,Debit Card,1.69,False,False,Afternoon
T4818418,2022-03-25 09:12:55.870048,P4652,Smartphone,Electronics,1302.03,1,1380.15,S1,Los Angeles,C62227,23,M,Credit Card,1.06,False,False,Morning
T1463060,2022-07-05 17:56:50.212972,P2889,Bedding,Home Goods,188.55,5,905.04,S9,Los Angeles,C86099,38,F,Mobile Pay,0.96,False,False,Afternoon
T4188992,2022-08-10 14:02:58.176989,P5173,Tablet,Electronics,583.96,2,1132.88,S2,Houston,C10221,28,M,Debit Card,0.97,False,False,Afternoon
T3090865,2022-03-09 18:43:01.097947,P5920,Bread,Groceries,6.1,1,6.65,S17,Chicago,C97410,32,F,Credit Card,1.09,False,False,Evening
